Cluster 1,Cluster 2,Cluster 3,Cluster4
1110001J03Rik,1700025G04Rik,Anapc13,Abhd17a
1810037I17Rik,Aatk,Arhgap5,Abhd8
2810428I15Rik,Agap3,Cabp7,Acsl3
Aco2,Anapc5,Camk2a,Adrbk1
Arhgef4,Ap1s1,Cenpb,Agap2
Arl2bp,Arc,Cnot3,Akt3
Bcl2l2,Arf3,Csnk1g2,Cacnb3
Brsk1,Arhgap35,Dact3,Camk2n1
Cacng2,Atp5k,Ddn,Ccni
Camk1d,Camta2,Eef1a1,Cep170b
Cbx6,Cox5b,Eef2,Chst2
Cdk5r2,Cox7a2,Eif3f,Cnih2
Celf4,Cox7b,Glud1,Cox4i1
Chpt1,Dda1,Homer2,Cox6a1
Cox6b1,Dgkz,Kif5a,Cox8a
Cox6c,Dlg4,Lhx2,D17Wsu92e
Cpe,Dos,Ncs1,Dennd5a
D8Ertd738e,Dpcd,Nnat,Desi1
Drap1,Ehmt2,Nsmf,Eef1g
Dusp8,Eif3k,Phactr3,Fbxl16
Efhd2,Evl,Ppp1r9b,Fth1
Eml2,Fbxo31,Psd,Gas5
Epb4.1l1,Fis1,Rdx,Git1
Fam63b,Gltscr2,Rpl13,Gnb2l1
Fgf13,Kcnab2,Rpl13a,Gpm6b
Gnas,Klf13,Rpl26,Hpcal4
Gnl1,Lztr1,Rps15,Ids
Guk1,Mpped1,Sirt2,Itsn1
Hdgfrp3,Ndufa1,Slc25a23,Jph4
Ldhb,Ndufa13,Tubb2b,Map2
Map1a,Ndufa3,Tulp4,Map4k4
Msmo1,Ndufa4,Wdr13,Mapk8ip1
Ndufb9,Ndufa5,Zfp365,Nrsn1
Nfia,Ndufa8,,Pcsk1n
Pdxdc1,Ndufb11,,Pitpnm1
Pdxk,Ndufs6,,Ppp2r2c
Pfdn2,Nfix,,Purb
Pfdn5,Nr2f1,,Rnf10
Phyh,Nudt3,,Rpl22
Plekhb2,Oaz1,,Rpl23
Polr2m,Pfkm,,Rpl4
Pou3f3,Pld3,,Rplp0
Psd3,Ppp1ca,,Rplp1
Rnf157,R3hdm4,,Rps11
Rpl14,RP24-68G17.4,,Rps14
Rpl8,Rasgef1a,,Rps2
Sh3glb1,Rnf187,,Rps24
Smarcc2,Rnf44,,Rps3
Smdt1,Rundc3a,,Rps3a1
Socs5,Saraf,,Rps5
Sptbn2,Sepw1,,Rps9
Suds3,Serf2,,Snph
Thra,Shank2,,Sowaha
Tmem234,Stx1b,,St3gal2
Trim8,Tomm7,,Trnp1
Uqcr11,Ube2l3,,Ugp2
Uqcrh,Uqcr10,,Wsb2
Uqcrq,Vapb,,Zbtb4
Use1,Vti1b,,Zfp106
Usf2,,,
Zfp91,,,
Zmiz1,,,
