Feature,Normalized.Dispersion
ENSG00000238009,-0.4817624656493736
ENSG00000241860,-1.523108613052302
ENSG00000229905,NaN
ENSG00000237491,-0.698869533004756
ENSG00000177757,NaN
ENSG00000228794,0.9346241394489991
ENSG00000225880,-0.9413984001717867
ENSG00000230368,-0.24233847987387508
ENSG00000230699,NaN
ENSG00000223764,9.660808256309926
ENSG00000187634,1.0577888320390074
ENSG00000188976,-0.28114923133470615
ENSG00000187961,-0.0047572116483343965
ENSG00000187583,NaN
ENSG00000187642,0.17255870213171048
ENSG00000272512,-0.22510968341598897
ENSG00000188290,1.2025499910424673
ENSG00000187608,1.3271429224827316
ENSG00000188157,-0.4271642458641223
ENSG00000131591,-0.3359213428857827
ENSG00000186891,NaN
ENSG00000186827,0.4023327502182592
ENSG00000078808,-0.9199009531362918
ENSG00000176022,-1.466915204951257
ENSG00000184163,-0.816753594464423
ENSG00000260179,NaN
ENSG00000160087,-0.022262208744840813
ENSG00000230415,NaN
ENSG00000162572,4.340125966045332
ENSG00000131584,-1.74203480131779
ENSG00000169972,-0.5925153666737107
ENSG00000127054,-1.018989899971327
ENSG00000224051,0.4862710760852096
ENSG00000107404,-0.4120619322055901
ENSG00000162576,0.3179176695373081
ENSG00000175756,0.4405796681824157
ENSG00000221978,2.314462021840388
ENSG00000224870,0.11744787767177194
ENSG00000242485,0.01894027127122998
ENSG00000272455,-1.2012146319139314
ENSG00000235098,1.6788719005846187
ENSG00000205116,15.209322526792448
ENSG00000225285,3.8353320078209023
ENSG00000179403,7.234951204668399
ENSG00000215915,0.7588350798335506
ENSG00000160072,-0.6209057193172467
ENSG00000197785,-0.7756395212367093
ENSG00000205090,-1.0560268471401961
ENSG00000160075,-0.9730337594150498
ENSG00000215014,-0.9209055461208625
ENSG00000228594,-1.5139789823422711
ENSG00000286989,-1.3310321135869527
ENSG00000272106,-0.39477674854810474
ENSG00000197530,-0.12184138339442924
ENSG00000189409,-2.144703563545353
ENSG00000248333,1.9845991702647992
ENSG00000272004,0.2552473998282828
ENSG00000189339,-1.30256175541901
ENSG00000008128,-0.14582300013717472
ENSG00000215790,-1.4286024183742045
ENSG00000008130,0.18550805956923114
ENSG00000078369,-1.2467312658809413
ENSG00000231050,1.5455740246864196
ENSG00000169885,-1.0520282916223545
ENSG00000178821,0.4295915490507864
ENSG00000142609,-0.6547842629349369
ENSG00000233542,-1.118475864707715
ENSG00000187730,-0.8374885019875765
ENSG00000067606,-0.27980896672044137
ENSG00000271806,NaN
ENSG00000182873,-0.510697935524428
ENSG00000162585,-0.300455780941831
ENSG00000157933,-0.6331802755366611
ENSG00000287356,NaN
ENSG00000116151,0.6255807300314834
ENSG00000272161,NaN
ENSG00000272420,-0.9433377853200624
ENSG00000157916,1.192609991953259
ENSG00000157911,-0.21578750989800652
ENSG00000149527,-1.4178780553834358
ENSG00000224387,NaN
ENSG00000157881,1.028784389520674
ENSG00000197921,-0.8060361381866036
ENSG00000272449,-0.6513297040580457
ENSG00000238164,1.2520359170431516
ENSG00000157873,-0.4454284537316556
ENSG00000228037,0.9699816916268578
ENSG00000157870,-1.775377252576657
ENSG00000142606,0.08941566023798632
ENSG00000215912,-1.0473777991041808
ENSG00000177133,1.565720580140653
ENSG00000142611,8.314567620982839
ENSG00000272235,2.066195306002133
ENSG00000287828,NaN
ENSG00000286518,NaN
ENSG00000130762,-0.18754465448243257
ENSG00000162591,1.5795542203474984
ENSG00000238260,NaN
ENSG00000158109,-0.8270924746066227
ENSG00000116213,0.7265991023990725
ENSG00000078900,2.3160892929694037
ENSG00000235131,NaN
ENSG00000235169,-0.6683452331177486
ENSG00000130764,-0.532797851340136
ENSG00000116198,-0.8182641477387871
ENSG00000169598,-0.969327265945293
ENSG00000198912,-0.31108221038284967
ENSG00000236423,-0.4472861610573487
ENSG00000233304,-0.8414566958999545
ENSG00000284703,-0.9807349055459322
ENSG00000284694,NaN
ENSG00000196581,-1.143334913233863
ENSG00000287586,NaN
ENSG00000284692,NaN
ENSG00000236948,-0.18448796333002793
ENSG00000131697,0.8656643736498778
ENSG00000069424,0.80538357044739
ENSG00000116254,-1.7201799281097259
