"gene_id","gene_name","t_stat","p_val","FDR"
"ENSG00000100596","SPTLC2",11.7477363189614,9.32901535972651e-17,1.08244565218907e-12
"ENSG00000244274","DBNDD2",11.2982950635551,4.39590792260494e-16,2.55028598129925e-12
"ENSG00000080815","PSEN1",11.090905153283,9.06534254896708e-16,3.16132620301983e-12
"ENSG00000054690","PLEKHH1",11.0383806936469,1.08983063105053e-15,3.16132620301983e-12
"ENSG00000138593","SECISBP2L",10.9326120889109,1.58069503108618e-15,3.22918873014072e-12
"ENSG00000066322","ELOVL1",10.9170395152998,1.66983817813016e-15,3.22918873014072e-12
"ENSG00000180834","MAP6D1",10.3188073669438,1.40432479867973e-14,1.77477175353334e-11
"ENSG00000139433","GLTP",10.2892759411867,1.56166578238548e-14,1.77477175353334e-11
"ENSG00000181409","AATK",10.2087342128286,2.08733194400748e-14,1.86302404202452e-11
"ENSG00000173786","CNP",10.1576509117472,2.5099943948687e-14,2.0802474974044e-11
"ENSG00000139737","SLAIN1",10.0988926631982,3.10414283142051e-14,2.40115795153148e-11
"ENSG00000064651","SLC12A2",10.0150246671095,4.20656084364951e-14,2.7115958593814e-11
"ENSG00000006831","ADIPOR2",9.99803894921003,4.47402854737145e-14,2.73221859132373e-11
"ENSG00000068903","SIRT2",9.91971584158307,5.94731628586446e-14,3.28603385070882e-11
"ENSG00000107362","ABHD17B",9.89990499391069,6.39197601555349e-14,3.37118625947578e-11
"ENSG00000180929","GPR62",9.8579763646403,7.44680106353185e-14,3.75674924957218e-11
"ENSG00000187764","SEMA4D",9.8263076080993,8.35845590257448e-14,4.03784339505696e-11
"ENSG00000172508","CARNS1",9.80458744836028,9.04799864444375e-14,4.03784339505696e-11
"ENSG00000134851","TMEM165",9.63565043819194,1.67897590047587e-13,6.95755620472197e-11
"ENSG00000075539","FRYL",9.60350704693041,1.88918119499791e-13,7.39207282226363e-11
"ENSG00000160271","RALGDS",9.57866380665219,2.06965973471e-13,7.74653609736779e-11
"ENSG00000107902","LHPP",9.52654843748465,2.50674794944044e-13,8.81387771435075e-11
"ENSG00000107331","ABCA2",9.47459956633286,3.0350967016839e-13,9.81586088333278e-11
"ENSG00000168522","FNTA",9.47366954594066,3.04551402051177e-13,9.81586088333278e-11
"ENSG00000148826","NKX6-2",9.44223754398438,3.41959421348874e-13,1.04414609629236e-10
"ENSG00000180354","MTURN",9.41213024036454,3.82126364165319e-13,1.13687492395133e-10
"ENSG00000092871","RFFL",9.37368599069967,4.40403000019422e-13,1.25270837248739e-10
"ENSG00000137941","TTLL7",9.37223212188806,4.42774569433780e-13,1.25270837248739e-10
"ENSG00000012124","CD22",9.36578355233304,4.53449553085154e-13,1.25270837248739e-10
"ENSG00000033170","FUT8",9.35698588857732,4.68432497534872e-13,1.26400517881328e-10
"ENSG00000066084","DIP2B",9.2546573203701,6.84053718221043e-13,1.76379450944861e-10
"ENSG00000206053","JPT2",9.22993090310353,7.49702562663037e-13,1.85080826267643e-10
"ENSG00000272888","LINC01578",9.20851790237932,8.11660089160888e-13,1.87379343043821e-10
"ENSG00000132702","HAPLN2",9.20636375818721,8.18171593310131e-13,1.87379343043821e-10
"ENSG00000070214","SLC44A1",9.20077935390142,8.35297935475135e-13,1.87379343043821e-10
"ENSG00000166348","USP54",9.17939239299746,9.04292971263696e-13,1.95145803299028e-10
"ENSG00000135924","DNAJB2",9.16651057785489,9.48589721943612e-13,2.00117937158395e-10
"ENSG00000176720","BOK",9.15956645402194,9.73367969124585e-13,2.01678366888438e-10
"ENSG00000080822","CLDND1",9.1441368833747,1.03078160728219e-12,2.01985157907247e-10
"ENSG00000136867","SLC31A2",9.14233929047298,1.03768843166644e-12,2.01985157907247e-10
"ENSG00000163531","NFASC",9.13686728824663,1.05900133434962e-12,2.01985157907247e-10
"ENSG00000150867","PIP4K2A",9.13613450546134,1.06188870398536e-12,2.01985157907247e-10
"ENSG00000105695","MAG",9.09458818753115,1.23924170549315e-12,2.28710145587128e-10
"ENSG00000011426","ANLN",9.07107660444007,1.35252344464463e-12,2.41435838895563e-10
"ENSG00000126822","PLEKHG3",9.02889380195766,1.58253582149712e-12,2.66118306330885e-10
"ENSG00000165410","CFL2",9.02286280250307,1.61849351694531e-12,2.68276861101663e-10
"ENSG00000091513","TF",9.00633528042193,1.72130306879843e-12,2.81299711369974e-10
"ENSG00000187164","SHTN1",8.98641806444752,1.85396943861683e-12,2.84631879487194e-10
"ENSG00000179364","PACS2",8.98492100466951,1.8643473964515e-12,2.84631879487194e-10
"ENSG00000283462","AC008505.1",8.98066707350203,1.89415671003186e-12,2.84888359974218e-10
"ENSG00000184144","CNTN2",8.97771378973454,1.91513333430914e-12,2.84888359974218e-10
"ENSG00000126803","HSPA2",8.9031647243954,2.52954259792866e-12,3.66878534547078e-10
"ENSG00000149557","FEZ1",8.85705795182936,3.00523896296399e-12,4.15116520086561e-10
"ENSG00000197892","KIF13B",8.84749337408629,3.11467529805667e-12,4.25000239737085e-10
"ENSG00000090097","PCBP4",8.81819812613045,3.47544631437855e-12,4.60262185189906e-10
"ENSG00000204655","MOG",8.81702473640098,3.49074138556509e-12,4.60262185189906e-10
"ENSG00000176485","PLAAT3",8.79672076435141,3.76638563904908e-12,4.73017219175847e-10
"ENSG00000019144","PHLDB1",8.79210243373188,3.83207951413683e-12,4.73017219175847e-10
"ENSG00000147533","GOLGA7",8.757658637883,4.3597850577134e-12,5.1618965331274e-10
"ENSG00000092529","CAPN3",8.75024314481258,4.48263328016787e-12,5.25373676260483e-10
"ENSG00000140479","PCSK6",8.73322912426335,4.7778119381825e-12,5.54369519187316e-10
"ENSG00000100399","CHADL",8.70550028573169,5.30135685562348e-12,6.03055329370581e-10
"ENSG00000188706","ZDHHC9",8.62902682514193,7.0640912203837e-12,7.58931948426963e-10
"ENSG00000107798","LIPA",8.62653618925021,7.13049543894019e-12,7.59037968605716e-10
"ENSG00000108387","SEPTIN4",8.62088876115222,7.28339816754292e-12,7.61695952592569e-10
"ENSG00000160285","LSS",8.6183789504212,7.35240426530792e-12,7.61695952592569e-10
"ENSG00000023191","RNH1",8.60045969225484,7.86455883939592e-12,7.82194762498982e-10
"ENSG00000166091","CMTM5",8.58854645956396,8.22475028500105e-12,8.01947710561909e-10
"ENSG00000198835","GJC2",8.58406414882319,8.36452368771237e-12,8.08779736237722e-10
"ENSG00000141540","TTYH2",8.57397158774295,8.68804538684508e-12,8.19572281492386e-10
"ENSG00000157827","FMNL2",8.54127880103684,9.82493135331582e-12,9.11989427940187e-10
"ENSG00000137221","TJAP1",8.53606405135019,1.00196227250843e-11,9.22680019675819e-10
"ENSG00000172005","MAL",8.5180447037765,1.07227065675441e-11,9.71996596118858e-10
"ENSG00000167755","KLK6",8.50379238931947,1.13137585751438e-11,1.00979646728765e-09
"ENSG00000197430","OPALIN",8.50148945464171,1.14122887690119e-11,1.01081516478508e-09
"ENSG00000185189","NRBP2",8.47118928671849,1.27918973328459e-11,1.1076446623359e-09
"ENSG00000167641","PPP1R14A",8.45620472979163,1.35348986084208e-11,1.15474579818755e-09
"ENSG00000013297","CLDN11",8.3731777295732,1.85109921640328e-11,1.45048967180033e-09
"ENSG00000082996","RNF13",8.35786033598691,1.96126226766792e-11,1.51710173945006e-09
"ENSG00000162073","PAQR4",8.34659535807877,2.04646111844885e-11,1.57252240777232e-09
"ENSG00000168297","PXK",8.28198436559026,2.61210320996456e-11,1.93046073536426e-09
"ENSG00000065600","PACC1",8.27819722752186,2.64975659534708e-11,1.94459290042474e-09
"ENSG00000176912","TYMSOS",8.27371289046259,2.69504718032067e-11,1.94459290042474e-09
"ENSG00000117115","PADI2",8.2673039193584,2.76112862573244e-11,1.96548315609654e-09
"ENSG00000104412","EMC2",8.24765804570605,2.97400340903178e-11,2.09524157988197e-09
"ENSG00000183077","AFMID",8.24451403220151,3.00956838386716e-11,2.09656739558437e-09
"ENSG00000065361","ERBB3",8.24381324370552,3.01755369354985e-11,2.09656739558437e-09
"ENSG00000123560","PLP1",8.23784614169537,3.08641476126008e-11,2.11903375591129e-09
"ENSG00000158715","SLC45A3",8.2133174002662,3.38645111366511e-11,2.29783580537171e-09
"ENSG00000180739","S1PR5",8.20374690958434,3.51130881054326e-11,2.36870442608915e-09
