"gene_id","gene_name","t_stat","p_val","FDR"
"ENSG00000139737","SLAIN1",10.3369391935905,2.75602799472179e-15,2.56028135857556e-11
"ENSG00000244274","DBNDD2",10.2102711529324,4.52666435391719e-15,2.56028135857556e-11
"ENSG00000068903","SIRT2",9.88792013058121,1.61148645202094e-14,6.07637824842030e-11
"ENSG00000272888","LINC01578",9.68113715430943,3.65720472233423e-14,1.03425749547612e-10
"ENSG00000138593","SECISBP2L",9.55571538531815,6.02291020630244e-14,1.36262320507386e-10
"ENSG00000173786","CNP",9.41463184516251,1.05725805021772e-13,1.71525454169087e-10
"ENSG00000066084","DIP2B",9.4136481754823,1.06141988966019e-13,1.71525454169087e-10
"ENSG00000149557","FEZ1",9.36008663848675,1.31474227079453e-13,1.85904557090347e-10
"ENSG00000180834","MAP6D1",9.19166825742202,2.5806071179481e-13,3.06018328157579e-10
"ENSG00000054690","PLEKHH1",9.1799067367524,2.70525396178906e-13,3.06018328157579e-10
"ENSG00000185189","NRBP2",9.02425982688122,5.05467060954478e-13,5.19803944865187e-10
"ENSG00000180354","MTURN",8.97548020317199,6.15057245212849e-13,5.79793963153979e-10
"ENSG00000107902","LHPP",8.89050821070938,8.66003367829181e-13,7.53556161298746e-10
"ENSG00000179364","PACS2",8.84922269688164,1.02279405891622e-12,8.26417599604306e-10
"ENSG00000080822","CLDND1",8.82205830316518,1.14119822309963e-12,8.60615619980201e-10
"ENSG00000187764","SEMA4D",8.79299626998176,1.28314811827451e-12,9.07185719620078e-10
"ENSG00000107331","ABCA2",8.75504696743368,1.4955202050798e-12,9.95136738815455e-10
"ENSG00000139433","GLTP",8.71873786066243,1.73166325104835e-12,1.08825414976994e-09
"ENSG00000157827","FMNL2",8.65652718225414,2.22649613834188e-12,1.30624082269362e-09
"ENSG00000080815","PSEN1",8.64747407887447,2.30947811650216e-12,1.30624082269362e-09
"ENSG00000066322","ELOVL1",8.60487648228913,2.74354731428252e-12,1.47785748662685e-09
"ENSG00000172508","CARNS1",8.53585290053639,3.62734287672889e-12,1.79043748472711e-09
"ENSG00000168522","FNTA",8.53496594120535,3.64038738938504e-12,1.79043748472711e-09
"ENSG00000012124","CD22",8.45974917209335,4.93634607124171e-12,2.21530211471906e-09
