"gene_id","gene_name","gene_type","pvalue","adj.P.Val","logFC"
"ENSG00000171766","GATM","protein_coding",0.00502327754149044,0.0278147100712806,0.362182566857913
"ENSG00000182580","EPHB3","protein_coding",0.00503876928848648,0.0278750685512945,-0.598195993952481
"ENSG00000232677","LINC00665","lncRNA",0.00503706288504578,0.0278750685512945,-0.276656608186761
"ENSG00000183196","CHST6","protein_coding",0.00505144069746069,0.0279324428002118,0.589868875357676
"ENSG00000180902","D2HGDH","protein_coding",0.00505458858422421,0.0279371275276443,0.257068841202971
"ENSG00000214819","CDRT15L2","protein_coding",0.00506065830621982,0.0279504740834587,-1.03959639183441
"ENSG00000271303","SRXN1","protein_coding",0.00506160689364454,0.0279504740834587,0.301550729789849
"ENSG00000145526","CDH18","protein_coding",0.00512282833972635,0.0282711274340853,0.495230518784889
"ENSG00000196275","GTF2IRD2","protein_coding",0.00512433101230517,0.0282711274340853,0.35530019333571
"ENSG00000138336","TET1","protein_coding",0.00515155125409462,0.0284083954943101,-0.992698192155018
"ENSG00000117114","ADGRL2","protein_coding",0.00517160391890294,0.0284801752323076,0.498085580629774
"ENSG00000152904","GGPS1","protein_coding",0.00517073086150165,0.0284801752323076,-0.208722392485988
"ENSG00000129295","LRRC6","protein_coding",0.00516779381746132,0.0284801752323076,-0.335613883556963
"ENSG00000188938","FAM120AOS","protein_coding",0.00518186332779532,0.0285108139508013,0.189755484261524
"ENSG00000215021","PHB2","protein_coding",0.00518070244945875,0.0285108139508013,0.162216998884815
"ENSG00000167397","VKORC1","protein_coding",0.00519550896273455,0.0285729462565605,0.220130655363918
"ENSG00000162728","KCNJ9","protein_coding",0.00520421522183402,0.0286043437642649,0.377958410750873
"ENSG00000121579","NAA50","protein_coding",0.00521176818953795,0.0286043437642649,-0.187388442874253
"ENSG00000219607","PPP1R3G","protein_coding",0.00520943064882677,0.0286043437642649,-0.635449764374715
"ENSG00000276075","AC027682.6","lncRNA",0.00520931148831782,0.0286043437642649,0.314682211132274
"ENSG00000130827","PLXNA3","protein_coding",0.00521299619124748,0.0286043437642649,0.292796061451806
"ENSG00000183691","NOG","protein_coding",0.00522794329667274,0.028673403546295,-0.397249107166973
"ENSG00000001460","STPG1","protein_coding",0.00524868462811139,0.0287611811548541,0.436158872337036
"ENSG00000001084","GCLC","protein_coding",0.00524663479361325,0.0287611811548541,0.341463756041227
"ENSG00000130414","NDUFA10","protein_coding",0.00525516855142737,0.0287837220207409,-0.255963965601209
"ENSG00000007520","TSR3","protein_coding",0.00526299134717731,0.0288087961773884,-0.243212772512088
"ENSG00000102302","FGD1","protein_coding",0.00526449137096474,0.0288087961773884,-0.457609176766247
"ENSG00000140299","BNIP2","protein_coding",0.00526785376043448,0.0288142109067369,0.345513679222114
"ENSG00000144034","TPRKB","protein_coding",0.00527385110561801,0.0288340270038359,-0.292814409194298
"ENSG00000138435","CHRNA1","protein_coding",0.00528356550097283,0.0288741385590968,0.880899340901345
"ENSG00000115946","PNO1","protein_coding",0.00528768597285031,0.0288836575655967,-0.418492697918318
"ENSG00000197965","MPZL1","protein_coding",0.00530015619020061,0.0289387574719451,-0.334159162419855
"ENSG00000151883","PARP8","protein_coding",0.00531373233873087,0.0289868157184227,-0.346387102384776
"ENSG00000120733","KDM3B","protein_coding",0.00531232374491161,0.0289868157184227,0.223375163408967
"ENSG00000163288","GABRB1","protein_coding",0.00531818791682191,0.0289914183088122,-0.549239186476166
"ENSG00000142208","AKT1","protein_coding",0.00531935106580199,0.0289914183088122,0.214833910372739
"ENSG00000089169","RPH3A","protein_coding",0.00532315936030138,0.0289966812093476,0.492979852366362
"ENSG00000128973","CLN6","protein_coding",0.00532509257159228,0.0289966812093476,0.262527702680666
"ENSG00000137507","LRRC32","protein_coding",0.00533144709119618,0.0290182707433417,0.655542255075915
"ENSG00000115687","PASK","protein_coding",0.00534009314120761,0.0290523078018298,0.36858770667581
"ENSG00000134294","SLC38A2","protein_coding",0.00534865011852291,0.0290858299996523,0.335280364862549
"ENSG00000143569","UBAP2L","protein_coding",0.00536579917042547,0.0291529750901461,0.198220313536669
"ENSG00000087253","LPCAT2","protein_coding",0.00536445804757519,0.0291529750901461,0.515769266150517
"ENSG00000105355","PLIN3","protein_coding",0.00536850214055006,0.0291546160521911,0.505727636828717
"ENSG00000134910","STT3A","protein_coding",0.00537530559697727,0.0291785140206057,0.253783946340961
"ENSG00000183617","MRPL54","protein_coding",0.00538167566943212,0.0292000391661815,-0.279745344834009
