"gene_id","gene_name","gene_type","pvalue","adj.P.Val","logFC"
"ENSG00000144115","THNSL2","protein_coding",3.75875086282957e-13,4.41578051365217e-09,-2.10478394781583
"ENSG00000178980","SELENOW","protein_coding",1.19087869322017e-12,6.99522144397529e-09,0.593273592600571
"ENSG00000130748","TMEM160","protein_coding",2.04057105432737e-12,7.99087624874597e-09,0.605162150599989
"ENSG00000182698","RESP18","protein_coding",3.7102534798628e-12,1.0897014470357e-08,2.00334548319693
"ENSG00000140990","NDUFB10","protein_coding",4.83091447916677e-12,1.13507166602503e-08,0.579608088512639
"ENSG00000063244","U2AF2","protein_coding",1.25252004261573e-11,2.45243424344159e-08,-0.562874999809912
"ENSG00000095637","SORBS1","protein_coding",2.32701474337678e-11,3.90539560074149e-08,-0.569129608955671
"ENSG00000286619","AC119673.2","lncRNA",3.4764516379544e-10,3.48433444552694e-07,2.02810745273479
"ENSG00000112715","VEGFA","protein_coding",2.72622243646595e-10,3.48433444552694e-07,-1.15628613780414
"ENSG00000219200","RNASEK","protein_coding",2.73704425452998e-10,3.48433444552694e-07,0.529817465966158
"ENSG00000280071","GATD3B","protein_coding",3.70554991401155e-10,3.48433444552694e-07,2.09944553685033
"ENSG00000198832","SELENOM","protein_coding",3.85566460604786e-10,3.48433444552694e-07,0.635795796617364
"ENSG00000182916","TCEAL7","protein_coding",3.33770019200503e-10,3.48433444552694e-07,0.724323032045025
"ENSG00000111676","ATN1","protein_coding",4.35998068469893e-10,3.59080049673385e-07,-0.640506701380279
"ENSG00000185825","BCAP31","protein_coding",4.58478102238744e-10,3.59080049673385e-07,0.448666258016144
"ENSG00000008441","NFIX","protein_coding",6.00848541682425e-10,4.41173041730321e-07,-0.602437542055372
"ENSG00000178057","NDUFAF3","protein_coding",7.78627737630037e-10,5.26585053376125e-07,0.486303376830215
"ENSG00000187630","DHRS4L2","protein_coding",8.06820817225931e-10,5.26585053376125e-07,0.967037568258231
"ENSG00000168036","CTNNB1","protein_coding",9.75242795926247e-10,6.03008019291661e-07,-0.399427611750459
"ENSG00000111640","GAPDH","protein_coding",1.17348444364094e-09,6.80590817840286e-07,0.466524407308184
"ENSG00000105605","CACNG7","protein_coding",1.21658215650715e-09,6.80590817840286e-07,-0.656261727670225
"ENSG00000197226","TBC1D9B","protein_coding",1.31007436212041e-09,6.99579709372298e-07,0.359702643185814
"ENSG00000267673","FDX2","protein_coding",1.42676765742624e-09,7.28768106062758e-07,0.671676942274938
"ENSG00000099817","POLR2E","protein_coding",1.63378773554514e-09,7.99739096549344e-07,0.475689643383238
