"gene_id","gene_name","gene_type","pvalue","adj.P.Val","logFC"
"ENSG00000141564","RPTOR","protein_coding",0.905702356406072,0.968767930983366,-0.025519053164337
"ENSG00000116209","TMEM59","protein_coding",0.9058901606803,0.968848786670097,-0.0157218540937019
"ENSG00000248049","UBA6-AS1","lncRNA",0.906071765440054,0.96894987142311,0.0402510271323813
"ENSG00000118640","VAMP8","protein_coding",0.906196057661097,0.96898965281474,0.089542749117899
"ENSG00000151067","CACNA1C","protein_coding",0.906291144966587,0.968998200931986,0.0263181436603714
"ENSG00000145545","SRD5A1","protein_coding",0.906394071191433,0.969002263130442,0.0246025198128713
"ENSG00000011275","RNF216","protein_coding",0.906645236490785,0.969002263130442,-0.0257327860115333
"ENSG00000155849","ELMO1","protein_coding",0.906944002433948,0.969002263130442,-0.0322675049845588
"ENSG00000114062","UBE3A","protein_coding",0.906841475202476,0.969002263130442,0.0176816875546252
"ENSG00000108840","HDAC5","protein_coding",0.906765905800679,0.969002263130442,-0.0239541217948615
"ENSG00000063241","ISOC2","protein_coding",0.906969640987047,0.969002263130442,-0.0230469665468503
"ENSG00000169249","ZRSR2","protein_coding",0.906991692273991,0.969002263130442,0.0326920540116176
"ENSG00000177854","TMEM187","protein_coding",0.906932402015547,0.969002263130442,0.0532958979935404
"ENSG00000184489","PTP4A3","protein_coding",0.907213327778121,0.969145989904885,0.035370375027161
"ENSG00000174227","PIGG","protein_coding",0.907303688313669,0.969149465838891,-0.0230255756560187
"ENSG00000153253","SCN3A","protein_coding",0.907642556403277,0.969325310284398,0.0265858361584681
"ENSG00000137177","KIF13A","protein_coding",0.90763743157085,0.969325310284398,-0.0272507496116688
"ENSG00000164168","TMEM184C","protein_coding",0.907741755674177,0.969338206510308,0.0278743861320363
"ENSG00000113068","PFDN1","protein_coding",0.908276630781182,0.969644849142184,-0.0190304513646996
"ENSG00000075790","BCAP29","protein_coding",0.908290366507266,0.969644849142184,0.0151498748447648
