"gene_id","gene_name","gene_type","pvalue","adj.P.Val","logFC"
"ENSG00000134533","RERG","protein_coding",6.42583955662347e-10,7.54393563947595e-06,0.997392024133763
"ENSG00000124225","PMEPA1","protein_coding",1.79122203175125e-09,1.05144733263799e-05,0.874079549120059
"ENSG00000137309","HMGA1","protein_coding",3.22807931673387e-09,1.26325503928186e-05,0.600242146000607
"ENSG00000123983","ACSL3","protein_coding",2.16918485869798e-08,5.26913055867864e-05,0.343509907020035
"ENSG00000171951","SCG2","protein_coding",3.59054893266006e-08,5.26913055867864e-05,0.713548800733436
"ENSG00000148690","FRA10AC1","protein_coding",2.72114383849291e-08,5.26913055867864e-05,0.689521492173151
"ENSG00000137824","RMDN3","protein_coding",3.25211306399321e-08,5.26913055867864e-05,0.338293883660809
"ENSG00000051108","HERPUD1","protein_coding",2.30091810540407e-08,5.26913055867864e-05,-0.453686933064134
"ENSG00000128564","VGF","protein_coding",6.3416720746855e-08,8.27235890631198e-05,1.20160058940198
"ENSG00000099326","MZF1","protein_coding",1.14394327655659e-07,0.000134298940667743,-0.525504736831526
"ENSG00000124788","ATXN1","protein_coding",1.43644938835656e-07,0.00014053263182755,0.425276140303482
"ENSG00000241945","PWP2","protein_coding",1.33887647771993e-07,0.00014053263182755,1.88896952381993
"ENSG00000235034","C19orf81","protein_coding",1.88985069486025e-07,0.000170668055058918,-0.872168480905289
"ENSG00000160072","ATAD3B","protein_coding",2.18121004226625e-07,0.000182910042115756,-0.68469074427986
"ENSG00000083444","PLOD1","protein_coding",2.40595645637979e-07,0.000188306191985992,-0.457267973192048
"ENSG00000280798","LINC00294","lncRNA",4.88997447626771e-07,0.000260946819779013,0.446585033431877
"ENSG00000166863","TAC3","protein_coding",4.36605070286674e-07,0.000260946819779013,1.10807973071298
"ENSG00000179094","PER1","protein_coding",4.50067363983473e-07,0.000260946819779013,-0.711935510019446
"ENSG00000206418","RAB12","protein_coding",4.7668849655639e-07,0.000260946819779013,0.489367044941062
