"gene_id","gene_name","gene_type","pvalue","FDR","logFC"
"ENSG00000173110","HSPA6","protein_coding",8.31702480274267e-07,0.00263150664758778,8.83223647281173
"ENSG00000132002","DNAJB1","protein_coding",1.85289974259309e-05,0.0263987019846075,5.38407501895151
"ENSG00000149257","SERPINH1","protein_coding",3.29440798011114e-05,0.0263987019846075,4.8761812881309
"ENSG00000204389","HSPA1A","protein_coding",3.33738331031701e-05,0.0263987019846075,5.83643263120646
"ENSG00000168542","COL3A1","protein_coding",5.05791824959985e-05,0.0320065066834678,4.6337718136993
